# D,S,E,I_1,A,A_d,I_2,Y,R
4.320099484175443649e-03,1.562330223312245380e+03,7.541005135535587822e-01,2.549373976315126811e+02,3.985918837938010739e+01,6.513885876078387582e+01,3.560653300291694734e+01,3.288352175657526288e+01,9.980084858565434115e+05
4.320552921853959560e-03,1.561795259629022667e+03,6.186229319087851453e-01,2.091226150201720770e+02,3.269855491992655061e+01,5.343190392949753686e+01,2.920800791476892400e+01,2.697474980039699233e+01,9.980861459653013153e+05
4.320925101637840271e-03,1.561356568567797922e+03,5.093255089766859367e-01,1.715382747823809666e+02,2.683841714805259215e+01,4.381497243244363915e+01,2.396011408236547879e+01,2.212697661207289812e+01,9.981498510299408808e+05
4.321229993365705013e-03,1.560996806682391480e+03,4.165492597493990479e-01,1.407129965262943188e+02,2.200626241244849268e+01,3.595041054696019955e+01,1.965377257848375692e+01,1.815127058906053392e+01,9.982021076101745712e+05
4.321480402722954750e-03,1.560701757724988965e+03,3.417349068918310029e-01,1.154252446724813410e+02,1.805233621368699204e+01,2.948935283968786791e+01,1.612187407792186988e+01,1.488949208826714354e+01,9.982449738859956851e+05
4.321685642935335636e-03,1.560459776434245441e+03,2.809782455813200075e-01,9.468132513459508459e+01,1.481277907793642790e+01,2.418569960303494781e+01,1.322496283004879558e+01,1.221368115545839039e+01,9.982801364758333657e+05
4.321854095906019211e-03,1.560261317911143806e+03,2.331592069809334533e-01,7.766310815264235146e+01,1.216838137958197485e+01,1.982286614616378628e+01,1.084960090918302278e+01,1.001823763180570026e+01,9.983089790068083676e+05
4.321992280893027782e-03,1.560098527655779208e+03,1.904729587934557988e-01,6.370689318129932133e+01,9.976634272050052488e+00,1.626520682973012910e+01,8.899438252922486470e+00,8.218071862592092103e+00,9.983326404329945799e+05
4.322105785831809044e-03,1.559964985250570862e+03,1.507063754216265705e-01,5.226389574047340147e+01,8.147873196457995348e+00,1.337590197146808535e+01,7.297462602654949393e+00,6.742460805621551145e+00,9.983520523919516709e+05
4.322198685258626938e-03,1.559855477000460269e+03,1.239073894651095964e-01,4.287122513708860083e+01,6.685580200870106182e+00,1.097032165336755938e+01,5.986181219354664407e+00,5.530734740017068773e+00,9.983679722504607635e+05
